商品,价格,店铺,详情页,品牌,详情
户登品牌 夏季透气网面运动鞋男鞋春秋季新款初高中学生气垫底慢跑步鞋青少年皮面防水超轻休闲男士 1907黑蓝网面单鞋 41码,128,户登旗舰店,https://item.jd.com/66083883833.html,品牌： 户登（HUDENG）,商品名称：户登品牌 夏季透气网面运动鞋男鞋春秋季新款初高中学生气垫底慢跑步鞋青少年皮面防水超轻休闲男士鞋子 1907黑蓝网面单鞋 41码商品编号：66083883833店铺： 户登旗舰店商品毛重：1.0kg货号：1908适用性别：男类别：入门跑鞋，稳定跑鞋，缓冲跑鞋，马拉松跑鞋鞋底材质：MD(PHYLON)闭合方式：系带运动系列：运动生活系列适用季节：四季通用适用场地：地板，跑道，公路功能：防滑，透气，轻便
回力（Warrior）官方运动鞋男鞋夏季透气软底网面鞋子男士潮跑步鞋旅游椰子休闲鞋,99.9,回力Warrior京东自营旗舰店,https://item.jd.com/100033693667.html,品牌： 回力（Warrior）,商品名称：回力WXY0127商品编号：100033693667商品毛重：0.9kg商品产地：中国大陆货号：WXY0127鞋面材质：合成革，织物类别：入门跑鞋，稳定跑鞋，缓冲跑鞋适用季节：四季通用上市时间：2023年春季适用性别：男鞋底材质：PU(聚氨酯)功能：透气，轻便运动系列：运动生活系列适用场地：地板，小道闭合方式：系带颜色：白色，灰色，黑色
安踏运动鞋男鞋夏季网面透气跑步鞋子男轻便软底耐磨减震户外鞋 51放价季|领券满499减150|满400减100|满300减60|特殊商品除外|更多请戳,179,安踏京东自营旗舰店,https://item.jd.com/100046255976.html,品牌： 安踏（ANTA）,商品名称：安踏91715521-1商品编号：100046255976商品毛重：0.673kg商品产地：中国大陆货号：912325521-1类别：入门跑鞋，稳定跑鞋鞋面功能：透气外底功能：耐磨适用季节：夏季，四季通用功能：透气，回弹，轻便鞋底材质：EVA上市时间：2022年秋季适用场地：跑道，公路，小道闭合方式：系带中底功能：缓震
鸿星尔克男鞋网面透气跑步鞋轻便休闲运动鞋舒适学生鞋 51121203083,159,鸿星尔克京东自营旗舰店,https://item.jd.com/100022020508.html,品牌： 鸿星尔克（ERKE）,商品名称：鸿星尔克51121203083商品编号：100022020508商品毛重：0.79kg商品产地：中国大陆货号：51121203083类别：入门跑鞋，稳定跑鞋，缓冲跑鞋功能：透气，平衡，轻便适用性别：男鞋底材质：EVA流行元素：车缝线闭合方式：系带运动系列：运动综训上市时间：2021年夏季适用场地：地板，跑道，小道颜色：白色，黄色，花色
鸿星尔克男鞋运动休闲鞋轻便减震运动男慢跑鞋 11117202113,139,鸿星尔克京东自营旗舰店,https://item.jd.com/100014449230.html,品牌： 鸿星尔克（ERKE）,商品名称：鸿星尔克11117202113商品编号：100014449230商品毛重：0.9kg商品产地：中国大陆货号：11117202113类别：入门跑鞋，稳定跑鞋适用季节：夏季上市时间：往季适用性别：男，女鞋底材质：EVA运动系列：运动综训功能：透气适用场地：地板，跑道，公路闭合方式：系带
回力男鞋运动鞋夏季休闲跑步鞋透气百搭椰子男鞋软底黑色网面鞋 黑绿【NO.1推荐款】 42（标准尺码）,79,回力班登专卖店,https://item.jd.com/10053077618029.html,品牌： 回力,商品名称：回力男鞋运动鞋夏季休闲跑步鞋透气百搭椰子男鞋软底黑色网面鞋 黑绿【NO.1推荐款】 42（标准尺码）商品编号：10053077618029店铺： 回力班登专卖店商品毛重：1.0kg商品产地：中国大陆货号：WXY(S)-1529Z鞋面材质：织物鞋跟形状：无跟厚底内里材质：织物适用季节：夏季闭合方式：系带上市时间：2022年夏季鞋头款式：圆头适用人群：青年，中年鞋底材质：TPR制鞋工艺：注压鞋流行元素：车缝线鞋帮高度：低帮图案：纯色适用场景：休闲风格：休闲风休闲风：简约风
贵作轻奢男鞋2023夏季透气高端男士包底内增高休闲运动鞋子男头层牛皮 60627蓝色 38,598,贵作鞋靴旗舰店,https://item.jd.com/10053998533523.html,品牌： 贵作（guizuo）,商品名称：贵作轻奢男鞋2023夏季透气高端男士包底内增高休闲运动鞋子男头层牛皮 60627蓝色 38商品编号：10053998533523店铺： 贵作鞋靴旗舰店商品毛重：1.0kg货号：GZ-20220607C005鞋面材质：头层牛皮鞋跟形状：无跟平底鞋头款式：圆头内里材质：超细纤维合成革上市时间：2023年夏季适用季节：四季通用适用人群：青年，中年鞋底材质：橡胶制鞋工艺：缝制鞋风格：百搭风鞋帮高度：低帮闭合方式：系带适用场景：休闲
361度男鞋运动鞋男2023年夏季新款轻便减震透气轻便跑步鞋旅游休闲鞋 太空灰/工装蓝-2270F 42,119,361度官方旗舰店,https://item.jd.com/1130236939.html,品牌： 361度,商品名称：361度男鞋运动鞋男2023年夏季新款轻便减震透气轻便跑步鞋旅游休闲鞋 太空灰/工装蓝-2270F 42商品编号：1130236939店铺： 361度官方旗舰店商品毛重：500.00g商品产地：中国大陆货号：671412201类别：入门跑鞋，稳定跑鞋，缓冲跑鞋适用季节：四季通用功能：透气，减震，回弹适用性别：男鞋底材质：MD(PHYLON)闭合方式：系带上市时间：2023年春季适用场地：地板，跑道，公路颜色：白色
耐克NIKE 男子 休闲鞋 缓震 透气 TANJUN 运动鞋 DJ6258-003黑色41码 【耐克自营专区出游季】4月27日-5月3日！超多好货爆款直降！立即抢购点击查看,329,耐克（NIKE）京东自营专区,https://item.jd.com/100030991952.html,品牌： 耐克（NIKE）,商品名称：耐克812654商品编号：100030991952商品毛重：0.7kg商品产地：以实物为准货号：DJ6258-003鞋面材质：织物鞋底厚度：厚款鞋底材质：复合材质功能：减震适用性别：男鞋帮高度：低帮闭合方式：系带上市时间：往季
回力（Warrior）男鞋子男春夏季低帮板鞋透气皮面百搭运动鞋男士休闲鞋官方,109.9,回力Warrior京东自营旗舰店,https://item.jd.com/100040538451.html,品牌： 回力（Warrior）,商品名称：回力WBN0217商品编号：100040538451商品毛重：500.00g商品产地：中国大陆货号：WBN0217鞋面材质：合成革鞋帮高度：低帮上市时间：2022年秋季适用季节：春季，四季通用闭合方式：系带功能：减震，防水
花花公子（PLAYBOY）鞋子男2023夏季男鞋百搭休闲鞋男潮流板鞋男士运动鞋靴 米色 42,238,花花公子（PLAYBOY）鞋靴京东自营旗舰店,https://item.jd.com/100040546035.html,品牌： 花花公子（PLAYBOY）,商品名称：花花公子休闲鞋男商品编号：100040546035商品毛重：1.0kg商品产地：中国福建货号：W_WPL1612633鞋面材质：超细纤维合成革鞋跟形状：无跟厚底适用场景：休闲图案：拼色适用季节：夏季，四季通用鞋头款式：圆头上市时间：2023年夏季流行元素：车缝线适用人群：青年鞋底材质：橡胶制鞋工艺：胶粘鞋风格：百搭风鞋帮高度：低帮闭合方式：系带内里材质：织物
安踏C37 3丨软底跑步鞋男夏季氮科技缓震跳绳鞋轻便运动鞋 51放价季|领券满499减150|满400减100|满300减60|特殊商品除外|更多请戳,599,安踏京东自营旗舰店,https://item.jd.com/100041021867.html,品牌： 安踏（ANTA）,商品名称：安踏912315537商品编号：100041021867商品毛重：1.13kg商品产地：中国大陆货号：912315537-1鞋面材质：网布类别：稳定跑鞋，缓冲跑鞋鞋面功能：透气中底科技：氮科技适用季节：四季通用颜色：白色，蓝色，黑色功能：减震，回弹，支撑适用性别：男适用场地：地板，跑道，公路鞋底材质：EVA上市时间：2022年冬季运动系列：科技控制系列鞋外底功能：支撑闭合方式：系带中底功能：缓震
富贵鸟（FUGUINIAO）夏季男鞋透气皮鞋男真皮商务正装鞋男士皮鞋休闲内增高中年爸爸鞋 FGN0080棕色【平跟款】 37码,388,富贵鸟闪耀天专卖店,https://item.jd.com/10068872965505.html,品牌： 富贵鸟（FUGUINIAO）,商品名称：富贵鸟（FUGUINIAO）夏季男鞋透气皮鞋男真皮商务正装鞋男士皮鞋休闲内增高中年爸爸鞋 FGN0080棕色【平跟款】 37码商品编号：10068872965505店铺： 富贵鸟闪耀天专卖店商品毛重：1.0kg货号：FGN0080鞋面材质：头层牛皮内里材质：头层猪皮鞋跟形状：平跟图案：纯色鞋帮高度：低帮鞋头款式：圆头流行元素：车缝线，素面上市时间：2023年春季闭合方式：套脚适用人群：中年，老年鞋底材质：橡胶制鞋工艺：胶粘鞋适用场景：休闲鞋垫材质：PU(聚氨酯)皮质特征：软面皮款式：德比鞋风格：通勤风通勤风：商务风
花花公子（PLAYBOY）休闲鞋男夏季男鞋百搭鞋子男士板鞋男款时尚运动鞋靴 米色 42,228,花花公子（PLAYBOY）鞋靴京东自营旗舰店,https://item.jd.com/100011089845.html,品牌： 花花公子（PLAYBOY）,商品名称：花花公子休闲鞋商品编号：100011089845商品毛重：500.00g商品产地：中国福建货号：PL160244鞋面材质：超细纤维合成革鞋跟形状：无跟平底内里材质：织物鞋头款式：圆头图案：拼色上市时间：2023年夏季适用季节：夏季，四季通用适用人群：青年鞋底材质：橡胶制鞋工艺：胶粘鞋流行元素：车缝线，素面鞋帮高度：低帮闭合方式：系带适用场景：休闲风格：休闲风休闲风：简约风
李宁星河丨板鞋男子拼接轻质经典休闲运动鞋AGCS253 【趣游正当时】5.04-5.06叠满600减110#首页领券叠满1000减280，欢迎选购（特殊商品除外）点击进入,198.1,李宁京东自营旗舰店,https://item.jd.com/100023953505.html,品牌： 李宁（LI-NING）,商品名称：李宁AGCS253商品编号：100023953505商品毛重：0.8kg商品产地：中国大陆货号：AGCS253适用性别：男上市时间：2022年夏季
骆驼(CAMEL)运动鞋男网面透气舒适休闲鞋软底耐磨健步鞋 A11260L8125 黑色42,122.1,骆驼运动京东自营旗舰店,https://item.jd.com/100017720124.html,品牌： 骆驼（CAMEL）,商品名称：骆驼A11260L8125商品编号：100017720124商品毛重：0.805kg商品产地：中国大陆货号：A11260L8125适用性别：男
森馬（Senma）时尚简约青春系带低帮学生舒适休闲帆布鞋男 2122201 黑色 42码,109,森马鞋业京东自营旗舰店,https://item.jd.com/5220141.html,品牌： 森馬（Senma）,商品名称：森馬帆布鞋商品编号：5220141商品毛重：0.86kg商品产地：浙江温州鞋底材质：橡胶制鞋工艺：硫化鞋上市时间：2020年秋季图案：纯色闭合方式：系带鞋帮高度：低帮风格：休闲风休闲风：简约风
回力（Warrior）官方男鞋子男夏季皮面板鞋男士百搭小白鞋旅游运动鞋户外休闲鞋,109.9,回力Warrior京东自营旗舰店,https://item.jd.com/100037870973.html,品牌： 回力（Warrior）,商品名称：回力WXY0370Z商品编号：100037870973商品毛重：500.00g商品产地：中国大陆货号：W0370Z鞋面材质：人造革适用季节：四季通用上市时间：2022年秋季适用性别：男鞋底厚度：平底鞋底材质：PVC(聚氯乙烯)流行元素：拼接闭合方式：系带鞋帮高度：低帮
商品,价格,店铺,详情页,品牌,详情
花花公子（PLAYBOY）鞋子男2023夏季高帮男鞋百搭休闲鞋男士工装鞋靴 沙色 44,238,花花公子（PLAYBOY）鞋靴京东自营旗舰店,https://item.jd.com/100038135921.html,品牌： 花花公子（PLAYBOY）,商品名称：花花公子休闲鞋男商品编号：100038135921商品毛重：0.9kg商品产地：中国福建货号：WX_PL1611807鞋面材质：人造革，织物鞋跟形状：无跟厚底内里材质：织物图案：纯色适用季节：春秋，四季通用鞋头款式：圆头上市时间：2023年春季流行元素：车缝线适用人群：青年鞋底材质：橡胶制鞋工艺：胶粘鞋风格：百搭风鞋帮高度：高帮闭合方式：系带适用场景：休闲
回力 Warrior 男鞋增高皮革拼接透气网面休闲鞋 户外耐磨徒步运动鞋 WXY(JS)-0561 浅咖 42,119,回力（Warrior）京东自营专区,https://item.jd.com/100012414219.html,品牌： 回力（Warrior）,商品名称：回力回力男士拼接休闲运动鞋WXY(JS)-0561商品编号：100012414219商品毛重：0.9kg商品产地：中国浙江货号：WXY(JS)-0561适用性别：男类别：入门跑鞋鞋底材质：PU(聚氨酯)流行元素：车缝线运动系列：运动生活系列闭合方式：系带适用场地：山地，跑道，公路功能：透气，回弹，增高
特步男鞋运动鞋子男春夏季软底网面鞋减震新款跑步鞋轻质慢跑鞋休闲鞋 白灰绿 42,154,特步沃冠专卖店,https://item.jd.com/10030884795783.html,品牌： 特步（XTEP）,商品名称：特步男鞋运动鞋子男春夏季软底网面鞋减震新款跑步鞋轻质慢跑鞋休闲鞋 白灰绿 42商品编号：10030884795783店铺： 特步沃冠专卖店商品毛重：0.6kg货号：880119115068黑白灰WG类别：入门跑鞋，稳定跑鞋，缓冲跑鞋适用季节：四季通用上市时间：2023年春季适用性别：男鞋底材质：EVA适用场地：地板，跑道，公路功能：透气，减震，耐磨闭合方式：系带流行元素：车缝线
361°运动鞋男鞋春夏网面透气软弹轻质入门跑步鞋子男 671832270-3,129,361度京东自营旗舰店,https://item.jd.com/8452203.html,品牌： 361°,商品名称：361°671832270商品编号：8452203商品毛重：0.6kg商品产地：中国福建货号：671832270适用性别：男类别：入门跑鞋上市时间：往季适用场地：地板，跑道，公路适用季节：四季通用闭合方式：系带功能：减震，轻便
线下同款李宁（LI-NING）男鞋运动鞋子男夏季跑步鞋男士透气飞织网面慢跑鞋百搭旅游休闲鞋 李宁绿【80%顾客选择】 42(内长265),119,李宁银冠专卖店,https://item.jd.com/10026596071121.html,品牌： 李宁（LI-NING）,商品名称：李宁（LI-NING）男鞋运动鞋子男夏季跑步鞋男士透气飞织网面慢跑鞋百搭旅游休闲鞋 李宁绿【80%顾客选择】 42(内长265)商品编号：10026596071121店铺： 李宁银冠专卖店商品毛重：500.00g商品产地：中国大陆货号：Y-ARHP275类别：入门跑鞋，稳定跑鞋，缓冲跑鞋鞋面科技：织物呼吸网鞋面功能：轻便外底功能：耐磨适用季节：春季，夏季，四季通用上市时间：2023年夏季适用性别：男流行元素：车缝线功能：防滑，减震，耐磨适用场地：地板，跑道，公路鞋底材质：复合材质，橡胶闭合方式：系带中底功能：缓震
户登品牌 夏季透气网面运动鞋男鞋春秋季新款初高中学生气垫底慢跑步鞋青少年皮面防水超轻休闲男士 1907黑蓝网面单鞋 41码,128,户登旗舰店,https://item.jd.com/66083883833.html,品牌： 户登（HUDENG）,商品名称：户登品牌 夏季透气网面运动鞋男鞋春秋季新款初高中学生气垫底慢跑步鞋青少年皮面防水超轻休闲男士鞋子 1907黑蓝网面单鞋 41码商品编号：66083883833店铺： 户登旗舰店商品毛重：1.0kg货号：1908适用性别：男类别：入门跑鞋，稳定跑鞋，缓冲跑鞋，马拉松跑鞋鞋底材质：MD(PHYLON)闭合方式：系带运动系列：运动生活系列适用季节：四季通用适用场地：地板，跑道，公路功能：防滑，透气，轻便
爱心东东回力男鞋2023新品小白鞋男春季透气网鞋轻质休闲潮流百搭运动板鞋子男 【皮面】6635白银 42,89.9,回力旗舰店,https://item.jd.com/10020140086844.html,品牌： 回力（Warrior）,商品名称：回力男鞋2023新品小白鞋男春季透气网鞋轻质休闲潮流百搭运动板鞋子男 【皮面】6635白银 42商品编号：10020140086844店铺： 回力旗舰店商品毛重：1.0kg商品产地：中国大陆货号：6635鞋面材质：合成革鞋跟形状：平跟内里材质：PU(聚氨酯)适用季节：春秋，夏季，四季通用闭合方式：系带上市时间：2023年春季鞋帮高度：低帮适用人群：青年，中年鞋底材质：PVC(聚氯乙烯)制鞋工艺：胶粘鞋流行元素：车缝线，素面鞋头款式：圆头图案：纯色适用场景：休闲风格：休闲风休闲风：简约风
361°男运动鞋春夏季户外透气休闲跑步鞋复古老爹鞋 672036763-2 43,169,361度京东自营旗舰店,https://item.jd.com/100013117268.html,品牌： 361°,商品名称：361°672036763商品编号：100013117268商品毛重：0.82kg商品产地：中国大陆货号：672036763鞋面材质：合成革流行元素：拼接功能：透气，减震鞋帮高度：低帮适用季节：四季通用闭合方式：系带上市时间：2020年秋季
SHANYEHUAXI夏季透气男鞋2023新款网面鞋子春季男士运动休闲板鞋软底鞋子帆布 卡其色（网面款）-2250-1 42,128,山野花溪鞋靴官方旗舰店,https://item.jd.com/10070423624438.html,品牌： 山野花溪（SHANYEHUAXI）,商品名称：SHANYEHUAXI夏季透气男鞋2023新款网面鞋子春季男士运动休闲板鞋软底鞋子帆布 卡其色（网面款）-2250-1 42商品编号：10070423624438店铺： 山野花溪鞋靴官方旗舰店商品毛重：0.8kg货号：天下2261鞋面材质：人造革鞋跟形状：无跟厚底内里材质：织物图案：拼色适用季节：春秋，夏季鞋头款式：圆头上市时间：2023年春季流行元素：车缝线，拼接适用人群：青年，中年鞋底材质：PVC(聚氯乙烯)制鞋工艺：缝制鞋鞋垫材质：PU(聚氨酯)适用场景：休闲闭合方式：系带鞋帮高度：低帮风格：日韩风日韩风：韩版
回力男鞋2023春季休闲鞋男新款潮流复古鞋子男款情侣款学生运动板鞋男 秘境森林-蓝 42,78.9,回力Warrior运动旗舰店,https://item.jd.com/10066855990288.html,品牌： 回力（Warrior）,商品名称：回力男鞋2023春季休闲鞋男新款潮流复古鞋子男款情侣款学生运动板鞋男 秘境森林-蓝 42商品编号：10066855990288店铺： 回力Warrior运动旗舰店商品毛重：500.00g商品产地：中国大陆货号：003深绿鞋面材质：合成革鞋跟形状：无跟厚底鞋头款式：圆头鞋帮高度：低帮上市时间：2023年春季适用场景：休闲适用人群：青年，中年鞋底材质：PVC(聚氯乙烯)制鞋工艺：注压鞋风格：百搭风适用季节：四季通用闭合方式：系带内里材质：棉
回力官方男鞋板鞋子男春夏季潮鞋男士皮面百搭小白鞋透气休闲运动鞋男 白蓝色 0551 42,109.9,回力官方旗舰店,https://item.jd.com/10057252100510.html,品牌： 回力（Warrior）,商品名称：回力官方男鞋板鞋子男春夏季潮鞋男士皮面百搭小白鞋透气休闲运动鞋男 白藏青 0551 41商品编号：10057252100510店铺： 回力官方旗舰店商品毛重：0.7kg货号：WBN0551鞋面材质：合成革适用季节：春季，夏季，秋季功能：耐磨，防滑，增高鞋底材质：PVC(聚氯乙烯)是否使用环保材质：无环保材料上市时间：2023年春季流行元素：车缝线闭合方式：系带鞋帮高度：低帮
贵作轻奢男鞋2023夏季透气高端男士包底内增高休闲运动鞋子男头层牛皮 60627蓝色 38,598,贵作鞋靴旗舰店,https://item.jd.com/10053998533523.html,品牌： 贵作（guizuo）,商品名称：贵作轻奢男鞋2023夏季透气高端男士包底内增高休闲运动鞋子男头层牛皮 60627蓝色 38商品编号：10053998533523店铺： 贵作鞋靴旗舰店商品毛重：1.0kg货号：GZ-20220607C005鞋面材质：头层牛皮鞋跟形状：无跟平底鞋头款式：圆头内里材质：超细纤维合成革上市时间：2023年夏季适用季节：四季通用适用人群：青年，中年鞋底材质：橡胶制鞋工艺：缝制鞋风格：百搭风鞋帮高度：低帮闭合方式：系带适用场景：休闲
鸿星尔克官方旗舰板鞋男小白鞋子男士休闲运动滑板鞋潮流百搭 51122101113 橡芽白/芯片蓝 41,179,鸿星尔克京东自营旗舰店,https://item.jd.com/100014737851.html,品牌： 鸿星尔克（ERKE）,商品名称：鸿星尔克51122101113商品编号：100014737851商品毛重：0.65kg商品产地：中国大陆货号：51122101113鞋面材质：织物，合成革功能：耐磨，轻便鞋底材质：EVA鞋帮高度：低帮颜色：白色，黄色，蓝色适用季节：春季闭合方式：系带上市时间：2022年春季
耐克NIKE 男子 休闲鞋 缓震 透气 TANJUN 运动鞋 DJ6258-003黑色41码 【耐克自营专区出游季】4月27日-5月3日！超多好货爆款直降！立即抢购点击查看,329,耐克（NIKE）京东自营专区,https://item.jd.com/100030991952.html,品牌： 耐克（NIKE）,商品名称：耐克812654商品编号：100030991952商品毛重：0.7kg商品产地：以实物为准货号：DJ6258-003鞋面材质：织物鞋底厚度：厚款鞋底材质：复合材质功能：减震适用性别：男鞋帮高度：低帮闭合方式：系带上市时间：往季
双星运动鞋男鞋春季网面软底透气跑步鞋休闲鞋轻便耐磨工作旅游鞋纯黑,79.9,双星京东自营旗舰店,https://item.jd.com/100050126793.html,品牌： 双星（shuangxing）,商品名称：双星16009-1商品编号：100050126793商品毛重：0.9kg商品产地：中国大陆货号：WDSM-16009鞋面材质：织物类别：入门跑鞋鞋面功能：包裹外底功能：回弹适用季节：春季，四季通用上市时间：2023年春季适用性别：通用，男，女是否使用环保材质：含环保材料鞋底材质：MD(PHYLON)适用场地：地板，公路，小道运动系列：运动生活系列功能：包裹性，保暖，减震闭合方式：系带中底功能：缓震
回力（Warrior）男鞋板鞋春夏季透气小白鞋子男士皮面运动鞋百搭休闲鞋官方旗舰店,109.9,回力Warrior京东自营旗舰店,https://item.jd.com/100038418023.html,品牌： 回力（Warrior）,商品名称：回力WBN0551Z商品编号：100038418023商品毛重：500.00g商品产地：中国大陆货号：WBN0551Z鞋面材质：合成革鞋底材质：PVC(聚氯乙烯)上市时间：2022年秋季鞋帮高度：低帮适用季节：春季，秋季闭合方式：系带功能：耐磨，透气，防水
特步情侣板鞋881219319851 白色-男 42码,159,特步京东自营旗舰店,https://item.jd.com/6477680.html,品牌： 特步（XTEP）,商品名称：特步984119315185商品编号：6477680商品毛重：0.7kg商品产地：福建泉州货号：881219319851鞋面材质：合成革鞋帮高度：低帮上市时间：往季适用季节：夏季，四季通用闭合方式：系带功能：耐磨
富贵鸟（FUGUINIAO）夏季男鞋透气皮鞋男真皮商务正装鞋男士皮鞋休闲内增高中年爸爸鞋 FGN0080棕色【平跟款】 37码,388,富贵鸟闪耀天专卖店,https://item.jd.com/10068872965505.html,品牌： 富贵鸟（FUGUINIAO）,商品名称：富贵鸟（FUGUINIAO）夏季男鞋透气皮鞋男真皮商务正装鞋男士皮鞋休闲内增高中年爸爸鞋 FGN0080棕色【平跟款】 37码商品编号：10068872965505店铺： 富贵鸟闪耀天专卖店商品毛重：1.0kg货号：FGN0080鞋面材质：头层牛皮内里材质：头层猪皮鞋跟形状：平跟图案：纯色鞋帮高度：低帮鞋头款式：圆头流行元素：车缝线，素面上市时间：2023年春季闭合方式：套脚适用人群：中年，老年鞋底材质：橡胶制鞋工艺：胶粘鞋适用场景：休闲鞋垫材质：PU(聚氨酯)皮质特征：软面皮款式：德比鞋风格：通勤风通勤风：商务风
李宁天迹丨板鞋男子轻质柔软减震回弹经典休闲鞋AGCS391 【趣游正当时】5.04-5.06叠满600减110#首页领券叠满1000减280，欢迎选购（特殊商品除外）点击进入,298.1,李宁京东自营旗舰店,https://item.jd.com/100039463456.html,品牌： 李宁（LI-NING）,商品名称：李宁AGCS391商品编号：100039463456商品毛重：0.8kg商品产地：中国大陆货号：AGCS391适用性别：男上市时间：2022年春季
回力官方男鞋运动鞋子男夏季时尚低帮缓震网面跑步鞋轻便男士休闲鞋,129.9,回力Warrior京东自营旗舰店,https://item.jd.com/100035003651.html,品牌： 回力（Warrior）,商品名称：回力WXY1448商品编号：100035003651商品毛重：0.9kg商品产地：中国大陆货号：WXY1448N鞋面材质：合成革，织物类别：入门跑鞋适用季节：夏季，秋季上市时间：2022年秋季适用性别：男鞋底材质：PVC(聚氯乙烯)功能：透气，减震适用场地：地板，公路，小道闭合方式：系带
回力男鞋夏季新款透气网面运动鞋子男士休闲鞋软底跑步鞋 白蓝灰【店铺力荐】 39（标准尺码）,79,回力班登专卖店,https://item.jd.com/10072989794949.html,品牌： 回力,商品名称：回力男鞋夏季新款透气网面运动鞋子男士休闲鞋软底跑步鞋 白蓝灰【店铺力荐】 39（标准尺码）商品编号：10072989794949店铺： 回力班登专卖店商品毛重：1.0kg商品产地：中国大陆货号：WXY2341-0412-YM鞋面材质：织物，合成革鞋跟形状：无跟厚底鞋头款式：圆头上市时间：2023年春季适用人群：青年鞋底材质：PVC(聚氯乙烯)制鞋工艺：注压鞋内里材质：织物适用场景：休闲闭合方式：系带鞋帮高度：低帮风格：休闲风休闲风：简约风
回力（Warrior）男鞋休闲鞋子男夏季薄款透气小白鞋男士运动鞋百搭板鞋男官方,109.9,回力Warrior京东自营旗舰店,https://item.jd.com/100026363619.html,品牌： 回力（Warrior）,商品名称：回力WXY1483Z商品编号：100026363619商品毛重：500.00g商品产地：中国大陆货号：WXY1483Z鞋面材质：合成革鞋底材质：PVC(聚氯乙烯)鞋帮高度：低帮功能：耐磨，减震适用季节：四季通用闭合方式：系带上市时间：2022年夏季
匹克男鞋休闲情侣板鞋男子低帮空军一号小白鞋百搭运动鞋男DB310127,159,匹克京东自营旗舰店,https://item.jd.com/100047685977.html,品牌： 匹克（PEAK）,商品名称：匹克DB310127商品编号：100047685977商品毛重：1.27kg商品产地：中国大陆货号：DB310127鞋面材质：织物，合成革鞋底材质：EVA上市时间：2022年冬季适用季节：春季，四季通用闭合方式：系带鞋帮高度：低帮
商品,价格,店铺,详情页,品牌,详情
麦儿飞乐【128件收纳盒款】儿童磁力片积木玩具磁性吸铁石拼装男孩玩具生日礼物丨44+30配件+54张卡,99,麦儿飞乐玩具京东自营旗舰店,https://item.jd.com/100024907754.html,品牌： 麦儿飞乐,商品名称：麦儿飞乐CH610商品编号：100024907754商品毛重：0.84kg商品产地：中国大陆形状数：10种以上数量：100-299件适用年龄：19个月-2岁，3-6岁，7-10岁
弥鹿（MiDeer）钻面彩窗磁铁玩具100片彩窗磁力片+收纳袋+小车*2,419,Mideer弥鹿京东自营官方旗舰店,https://item.jd.com/100020473099.html,品牌： 弥鹿（MiDeer）,商品名称：弥鹿MD1141商品编号：100020473099商品毛重：3.588kg商品产地：中国大陆货号：MD1141形状数：10种包装形式：礼盒装数量：100-299件适用年龄：3-6岁
奥迪双钻（AULDEY）磁力片200件套创意版儿童玩具积木拼插玩具生日礼物DL391201,225,奥迪双钻京东自营官方旗舰店,https://item.jd.com/4008297.html,品牌： 奥迪双钻（AULDEY）,商品名称：奥迪双钻磁力片商品编号：4008297商品毛重：1.64kg商品产地：广东形状数：6种数量：100-299件适用年龄：3-6岁，7-10岁，11-14岁
魔磁玩家（ MAGPLAYER）彩窗磁力片158件儿童玩具积木拼插磁力积木拼图礼物丨含95,183,魔磁玩家京东自营旗舰店,https://item.jd.com/100014672470.html,品牌： 魔磁玩家（ MAGPLAYER）,商品名称：魔磁玩家WJ-2022商品编号：100014672470商品毛重：2.66kg商品产地：中国大陆形状数：10种以上数量：100-299件适用年龄：3-6岁，7-10岁，11-14岁
萌迪树 磁力片 儿童磁力积木 磁铁拼图大号 儿童搭建玩具112件套(36+16数字卡+54张4D卡),69,萌迪树京东自营官方旗舰店,https://item.jd.com/100004595668.html,品牌： 萌迪树,商品名称：萌迪树MDS-M-001商品编号：100004595668商品毛重：0.59kg商品产地：浙江永康货号：LZW-801形状数：5种数量：100-299件适用年龄：19个月-2岁，3-6岁，7-10岁
可优比（KUB）儿童磁力片贴棒吸磁铁石女孩男孩积木拼接益智玩具 【升级款】中级80件套,158,可优比官方旗舰店,https://item.jd.com/40351272909.html,品牌： 可优比（KUB）,商品名称：可优比（KUB）儿童磁力片贴棒吸磁铁石女孩男孩积木拼接益智玩具 【升级款】中级80件套商品编号：40351272909店铺： 可优比官方旗舰店商品毛重：1.44kg数量：1-99件形状数：10种以上
魔磁玩家（ MAGPLAYER）彩窗磁力片260件儿童玩具积木拼插建构片磁力积木丨含122,275,魔磁玩家京东自营旗舰店,https://item.jd.com/100019433719.html,品牌： 魔磁玩家（ MAGPLAYER）,商品名称：魔磁玩家魔磁玩家彩窗建构片至尊款商品编号：100019433719商品毛重：3.4kg商品产地：中国大陆形状数：10种以上包装形式：简装数量：100-299件适用年龄：3-6岁，7-10岁，11-14岁
神童小子 彩窗磁力片162件儿童积木玩具拼插3-6岁男孩女孩礼物早教启蒙,89,神童小子（SHENTONGXIAOZI）京东自营旗舰店,https://item.jd.com/100050652527.html,品牌： 神童小子（SHENTONGXIAOZI）,商品名称：神童小子CH215商品编号：100050652527商品毛重：1.14kg商品产地：中国大陆形状数：10种以上包装形式：简装数量：1-99件适用年龄：6-12个月，13-18个月，3-6岁
